Date,Open,High,Low,Close,Adj Close,Volume
7/14/2015,4.72593,4.77778,4.41481,4.52593,4.325828,84692084
7/15/2015,4.37778,4.43704,4.07407,4.07407,3.893945,48383738
7/16/2015,3.8963,4.31852,3.81481,4.20741,4.02139,35342597
7/17/2015,4.24444,4.57778,4.20741,4.5037,4.30458,36566973
7/20/2015,4.5037,4.64444,4.40741,4.53333,4.332901,40722759
7/21/2015,4.47407,4.98519,4.38519,4.98519,4.764782,82024670
7/22/2015,5.04444,5.14074,4.72593,4.91852,4.70106,82777382
7/23/2015,4.82963,5.07407,4.75556,5.01481,4.793093,62458792
7/24/2015,4.98519,5.0963,4.81481,4.88889,4.67274,51945831
7/27/2015,4.74074,4.85926,4.4,4.4,4.205465,41081110
7/28/2015,4.05926,4.40741,3.96296,4.16296,3.978905,40972755
7/29/2015,4.23704,4.53333,4.13333,4.4963,4.297508,29258772
7/30/2015,4.5037,4.78519,4.45926,4.51852,4.318745,45240075
7/31/2015,4.46667,4.51852,4.25926,4.41481,4.219621,23652760
8/3/2015,4.40741,4.44444,4.1037,4.32593,4.13467,22019196
8/4/2015,4.31852,4.77037,4.31852,4.77037,4.55946,35027223
8/5/2015,4.96296,4.96296,4.66667,4.77037,4.55946,72450092
8/6/2015,4.48889,4.76296,4.48889,4.60741,4.403705,31881980
8/7/2015,4.63704,4.8,4.61481,4.74815,4.538222,34374407
8/10/2015,4.8,5,4.74815,4.95556,4.736463,46647343
8/11/2015,4.95556,5.08148,4.85926,4.97778,4.7577,55026955
8/12/2015,4.88889,5.05185,4.85926,4.88148,4.665658,42237590
8/13/2015,4.85926,5.01481,4.77778,4.99259,4.771855,40257948
8/14/2015,5.02222,5.14074,4.99259,5.07407,4.849733,46656926
8/17/2015,5.03704,5.35556,5.00741,5.28889,5.055055,53131663
8/18/2015,5.28148,5.31111,4.76296,4.76296,4.552378,54645054
8/19/2015,4.60741,4.94074,4.33333,4.88148,4.665658,38498852
8/20/2015,4.79259,5.25185,4.72593,5.08889,4.863898,67350225
8/21/2015,4.97778,5.07407,4.57778,4.71852,4.509902,47238385
8/24/2015,4.48148,4.59259,4.24444,4.24444,4.056783,25206120
8/25/2015,3.82222,3.91852,3.82222,3.82222,3.65323,21893099
8/26/2015,3.76296,3.96296,3.44444,3.80741,3.639075,38972632
8/27/2015,3.79259,4.01481,3.68889,4.00741,3.830232,32957216
8/28/2015,4.02222,4.34815,3.94074,4.26667,4.07803,49162912
8/31/2015,4.2,4.22222,4.02222,4.13333,3.950585,28630888
9/1/2015,4.0963,4.20741,3.77778,3.78519,3.617838,29312580
9/2/2015,3.64444,3.88889,3.54074,3.61481,3.45499,27223052
9/7/2015,3.7037,3.81481,3.63704,3.67407,3.51163,18537951
9/8/2015,3.67407,3.84444,3.65926,3.82963,3.660313,14878931
9/9/2015,3.84444,4.02963,3.81481,4.00741,3.830232,28130292
9/10/2015,3.93333,3.97037,3.85926,3.86667,3.695715,17074826
9/11/2015,3.86667,4.14074,3.86667,4.1037,3.922266,35477220
9/14/2015,4.11111,4.15556,3.6963,3.6963,3.532877,28337481
9/15/2015,3.59259,3.67407,3.32593,3.34074,3.193038,25692728
9/16/2015,3.43704,3.67407,3.40741,3.67407,3.51163,30025688
9/17/2015,3.6963,3.95556,3.61481,3.68889,3.525795,34450119
9/18/2015,3.67407,3.79259,3.65926,3.74074,3.575353,19864632
9/21/2015,3.67407,4.11852,3.62963,4.11852,3.93643,44054744
9/22/2015,4.28889,4.34074,4.08889,4.14815,3.96475,78238840
9/23/2015,3.99259,4.06667,3.94815,3.99259,3.816068,37405806
9/24/2015,3.98519,4.17037,3.98519,4.05185,3.872708,25436348
9/25/2015,4.00741,4.03704,3.74074,3.81481,3.646148,27181293
9/28/2015,3.82222,3.8963,3.74815,3.88889,3.716953,15072690
9/29/2015,3.76296,3.82963,3.74815,3.77778,3.610755,11319175
9/30/2015,3.81481,3.83704,3.75556,3.79259,3.62491,9683298
10/8/2015,3.92593,3.97037,3.87407,3.93333,3.759428,20508660
10/9/2015,3.94815,4.02963,3.91852,4,3.82315,25204900
10/12/2015,4,4.32593,3.97778,4.2,4.014307,46884557
10/13/2015,4.14074,4.28148,4.12593,4.20741,4.02139,35194610
10/14/2015,4.18519,4.26667,4.08889,4.14074,3.957668,28392908
10/15/2015,4.12593,4.55556,4.08889,4.52593,4.325828,61217817
10/16/2015,4.45926,4.6963,4.39259,4.59259,4.38954,67136168
10/19/2015,4.6,4.73333,4.54074,4.65185,4.44618,53268264
10/20/2015,4.58519,4.65185,4.51111,4.62222,4.417861,38295324
10/21/2015,4.66667,4.80741,4.24444,4.27407,4.085103,56116054
10/22/2015,4.33333,4.54074,4.2963,4.5037,4.30458,36652043
10/23/2015,4.4963,4.74074,4.42963,4.65926,4.453262,50733689
10/26/2015,4.77037,4.9037,4.58519,4.88889,4.67274,60350270
10/27/2015,4.77778,5.03704,4.65185,4.88148,4.665658,63824970
10/28/2015,4.88889,4.91111,4.62963,4.65185,4.44618,38810982
10/29/2015,4.7037,4.88889,4.62222,4.79259,4.580698,34518928
10/30/2015,5.03704,5.27407,4.93333,5.27407,5.04089,59180783
11/2/2015,5.31852,5.6963,5.25926,5.43704,5.196655,155365657
11/3/2015,5.26667,5.40741,5.16296,5.31111,5.076293,79270296
11/4/2015,5.2963,5.68889,5.26667,5.65926,5.40905,120227745
11/5/2015,5.83704,5.94074,5.51852,5.6,5.35241,129642680
11/6/2015,5.44444,5.53333,5.33333,5.51111,5.26745,93690476
11/9/2015,5.37037,5.44444,5.2963,5.38519,5.147097,68662663
11/10/2015,5.37037,5.54074,5.31852,5.44444,5.203728,60820536
11/11/2015,5.44444,5.48148,5.32593,5.42222,5.182491,41968525
11/12/2015,5.40741,5.53333,5.34074,5.48889,5.246213,57935297
11/13/2015,5.42963,5.75556,5.4,5.62963,5.380731,83254601
11/16/2015,5.5037,5.53333,5.2963,5.45185,5.21081,51975610
11/17/2015,5.4963,5.60741,5.37778,5.4,5.161253,56262821
11/18/2015,5.40741,5.42963,5.19259,5.21481,4.984251,38250602
11/19/2015,5.18519,5.38519,5.08148,5.35556,5.118777,41968934
11/20/2015,5.40741,5.45185,5.31111,5.35556,5.118777,46207270
11/23/2015,5.34815,5.37778,5.17778,5.2,4.970095,45587873
11/24/2015,5.18519,5.18519,5.0963,5.17037,4.941775,22762170
11/25/2015,5.18519,5.27407,5.17778,5.22963,4.998415,25017959
11/26/2015,5.23704,5.25926,5.14074,5.15556,4.92762,25550034
11/27/2015,5.12593,5.14074,4.64444,4.68889,4.481583,32811300
11/30/2015,4.66667,4.74074,4.45185,4.68148,4.4745,23807909
12/1/2015,4.71111,4.76296,4.64444,4.74074,4.53114,21471266
12/2/2015,4.76296,4.78519,4.56296,4.71111,4.50282,18307504
12/3/2015,4.68889,4.79259,4.68889,4.79259,4.580698,20084311
12/4/2015,4.76296,4.77778,4.68889,4.71111,4.50282,16976164
12/7/2015,4.71852,4.79259,4.68148,4.77778,4.566543,17744726
12/8/2015,4.73333,4.91111,4.63704,4.83704,4.623183,36620060
12/9/2015,4.78519,4.78519,4.66667,4.6963,4.488665,19962359
12/10/2015,4.71111,4.74074,4.58519,4.6,4.396623,14328800
12/11/2015,4.58519,4.59259,4.48148,4.51111,4.311663,13155066
12/14/2015,4.45185,4.59259,4.42963,4.58519,4.382467,11620347
12/15/2015,4.59259,4.65185,4.57037,4.62963,4.424943,12387696
12/16/2015,4.63704,4.68148,4.61481,4.65185,4.44618,12081752
12/17/2015,4.65926,4.78519,4.65926,4.77778,4.566543,22539783
12/18/2015,4.81481,4.87407,4.75556,4.79259,4.580698,23138533
12/21/2015,4.8,4.91852,4.76296,4.85926,4.64442,27405613
12/22/2015,4.84444,4.91111,4.82222,4.88889,4.67274,19377059
12/23/2015,4.88148,4.94074,4.81481,4.82222,4.609017,25568055
12/24/2015,4.81481,4.83704,4.62963,4.72593,4.516985,20039452
12/25/2015,4.72593,4.91852,4.68889,4.91852,4.70106,25023268
12/28/2015,5.04444,5.14074,4.92593,5.00741,4.78602,69439525
12/29/2015,4.97037,5.02222,4.82222,4.98519,4.764782,30104902
12/30/2015,5,5.05926,4.94815,5.00741,4.78602,25058298
12/31/2015,5.02963,5.04444,4.85926,4.86667,4.651503,20266434
1/4/2016,4.83704,4.84444,4.38519,4.39259,4.198383,20092171
1/5/2016,4.25926,4.48148,4.14815,4.31111,4.120505,24164834
1/6/2016,4.34815,4.45185,4.31111,4.45185,4.255023,18841863
1/7/2016,4.42963,4.42963,4.01481,4.02963,3.85147,4603230
1/8/2016,4.19259,4.24444,3.9037,4.11111,3.929348,17481451
1/11/2016,4.07407,4.11111,3.71852,3.76296,3.59659,17622285
1/12/2016,3.78519,3.83704,3.6963,3.80741,3.639075,14169784
1/13/2016,3.84444,3.87407,3.68148,3.6963,3.532877,10312679
1/14/2016,3.61481,3.82222,3.55556,3.81481,3.646148,10633317
1/15/2016,3.78519,3.83704,3.61481,3.68889,3.525795,9684337
1/18/2016,3.67407,3.77037,3.62222,3.73333,3.56827,8855744
1/19/2016,3.72593,3.86667,3.68889,3.85185,3.68155,13513080
1/20/2016,3.83704,3.91111,3.81481,3.85185,3.68155,14812815
1/21/2016,3.78519,3.88148,3.7037,3.72593,3.561198,12199383
1/22/2016,3.77037,3.8,3.66667,3.78519,3.617838,10139642
1/25/2016,3.81481,3.86667,3.78519,3.83704,3.667395,8370466
1/26/2016,3.79259,3.82963,3.46667,3.4963,3.34172,12998138
1/27/2016,3.51852,3.54815,3.2963,3.41481,3.263833,11440451
1/28/2016,3.46667,3.75556,3.42222,3.62963,3.469155,45419624
1/29/2016,3.42222,3.79259,3.38519,3.68889,3.525795,38271284
2/1/2016,3.57037,3.62963,3.46667,3.52593,3.37004,18970287
2/2/2016,3.4963,3.67407,3.48889,3.61481,3.45499,14704690
2/3/2016,3.54815,3.62963,3.48889,3.57778,3.419598,12952762
2/4/2016,3.66667,3.7037,3.62963,3.66667,3.504558,14891467
2/5/2016,3.66667,3.73333,3.63704,3.64444,3.48331,12313379
2/15/2016,3.48889,3.6,3.41481,3.56296,3.405433,9440286
2/16/2016,3.57778,3.74074,3.57778,3.71852,3.554115,17204931
2/17/2016,3.72593,3.77778,3.68889,3.77037,3.603673,16863116
2/18/2016,3.77778,3.81481,3.74074,3.75556,3.589517,16481936
2/19/2016,3.75556,3.80741,3.72593,3.78519,3.617838,11575247
2/22/2016,3.82963,3.92593,3.77778,3.8963,3.724035,22661102
2/23/2016,3.85926,4.06667,3.80741,4.03704,3.858553,38690875
2/24/2016,3.96296,4.04444,3.91852,4.00741,3.830232,29237237
2/25/2016,3.99259,3.99259,3.60741,3.61481,3.45499,29413722
2/26/2016,3.62963,3.6963,3.57778,3.67407,3.51163,13654208
2/29/2016,3.65185,3.65926,3.40741,3.53333,3.377113,13458237
3/1/2016,3.54074,3.65185,3.4963,3.61481,3.45499,11089477
3/2/2016,3.62222,3.85185,3.6,3.8,3.631993,19572906
3/3/2016,3.77778,3.85926,3.77037,3.79259,3.62491,17335593
3/4/2016,3.75556,3.81481,3.62222,3.71111,3.547033,16108192
3/7/2016,3.74074,3.80741,3.72593,3.8,3.631993,11288758
3/8/2016,3.8,4.0963,3.66667,3.98519,3.808995,36440417
3/9/2016,3.85926,3.86667,3.74074,3.77778,3.610755,24916269
3/10/2016,3.76296,3.80741,3.68148,3.7037,3.53995,12939780
3/11/2016,3.66667,3.68889,3.6,3.67407,3.51163,10889902
3/14/2016,3.7037,3.82963,3.7037,3.77037,3.603673,16327350
3/15/2016,3.77778,3.85926,3.76296,3.8,3.631993,12808873
3/16/2016,3.81481,3.85926,3.72593,3.76296,3.59659,10990727
3/17/2016,3.77778,3.87407,3.77037,3.86667,3.695715,19543282
3/18/2016,3.88889,3.97778,3.85185,3.97037,3.79483,29954945
3/21/2016,3.96296,4.07407,3.95556,4.05926,3.87979,30820366
3/22/2016,4.00741,4.14815,3.97778,4.14074,3.957668,31075773
3/23/2016,4.07407,4.1037,4.02963,4.06667,3.886873,23356396
3/24/2016,4.02963,4.03704,3.92593,3.93333,3.759428,26426128
3/25/2016,3.9037,3.96296,3.88889,3.94815,3.773592,12556186
3/28/2016,3.95556,4,3.86667,3.88889,3.716953,16825270
3/29/2016,3.88148,3.9037,3.74074,3.78519,3.617838,14732490
3/30/2016,3.80741,3.91852,3.8,3.91111,3.73819,14733480
3/31/2016,3.92593,3.97037,3.9037,3.92593,3.752355,14435089
4/1/2016,3.91111,3.91852,3.83704,3.91111,3.73819,14360223
4/5/2016,3.9037,4.00741,3.8963,4,3.82315,17584683
4/6/2016,4,4.02963,3.96296,4,3.82315,15135037
4/7/2016,4.01481,4.05185,3.93333,3.94074,3.76651,17084906
4/8/2016,3.91852,3.91852,3.82963,3.8963,3.724035,11713792
4/11/2016,3.91111,3.98519,3.9037,3.97037,3.79483,14292118
4/12/2016,3.98519,3.98519,3.8963,3.92593,3.752355,10254419
4/13/2016,3.94074,4.02963,3.94074,3.97778,3.801913,20773135
4/14/2016,4.00741,4.03704,3.97037,4.03704,3.858553,15884320
4/15/2016,4.00741,4.02963,3.98519,4.02222,3.844388,13760618
4/18/2016,3.95556,3.99259,3.88889,3.94815,3.773592,14081806
4/19/2016,3.95556,3.97037,3.91111,3.94815,3.773592,10645995
4/20/2016,3.96296,3.97037,3.66667,3.74815,3.582435,22988870
4/21/2016,3.71852,3.80741,3.71111,3.77778,3.610755,13370010
4/22/2016,3.76296,3.76296,3.68889,3.75556,3.589517,11867791
4/25/2016,3.73333,3.74074,3.63704,3.7037,3.53995,8998864
4/26/2016,3.6963,3.77778,3.6963,3.77778,3.610755,8462921
4/27/2016,3.76296,3.8,3.75556,3.76296,3.59659,7463605
4/28/2016,3.76296,3.78519,3.65185,3.72593,3.561198,9869483
4/29/2016,3.71852,3.74074,3.68148,3.73333,3.56827,5345622
5/3/2016,3.77037,3.88889,3.76296,3.87407,3.702788,17868725
5/4/2016,3.85185,3.91111,3.85185,3.8963,3.724035,13349069
5/5/2016,3.9037,3.91852,3.85926,3.91111,3.73819,8021653
5/6/2016,3.92593,3.94074,3.76296,3.76296,3.59659,14683031
5/9/2016,3.74815,3.74815,3.6,3.62222,3.462073,13244991
5/10/2016,3.64444,3.68148,3.62222,3.65185,3.490393,7324024
5/11/2016,3.66667,3.71852,3.61481,3.65926,3.497475,10895432
5/12/2016,3.62963,3.62963,3.48889,3.59259,3.433753,10590811
5/13/2016,3.57778,3.62963,3.54074,3.58519,3.42668,8709142
5/16/2016,3.57037,3.63704,3.56296,3.63704,3.476237,8978699
5/17/2016,3.62963,3.65926,3.6,3.63704,3.476237,7038247
5/18/2016,3.60741,3.60741,3.46667,3.51111,3.355875,11729463
5/19/2016,3.51111,3.57037,3.4963,3.51852,3.362958,6442768
5/20/2016,3.51111,3.6,3.47407,3.58519,3.42668,8913021
5/23/2016,3.56296,3.61481,3.54074,3.60741,3.447917,8116319
5/24/2016,3.59259,3.61481,3.54074,3.57037,3.412515,5652041
5/25/2016,3.58519,3.61481,3.55556,3.55556,3.39836,4814533
5/26/2016,3.55556,3.58519,3.48889,3.57037,3.412515,6355456
5/27/2016,3.57037,3.58519,3.54074,3.57037,3.412515,4930706
5/30/2016,3.55556,3.57778,3.51852,3.54074,3.384195,4787200
5/31/2016,3.59259,3.68889,3.58519,3.68889,3.525795,15400654
6/1/2016,3.66667,3.71852,3.66667,3.67407,3.51163,12900006
6/2/2016,3.65926,3.71852,3.65185,3.71111,3.547033,10342277
6/3/2016,3.71111,3.73333,3.67407,3.71111,3.547033,9486137
6/6/2016,3.7037,3.79259,3.6963,3.72593,3.561198,12733495
6/7/2016,3.7037,3.71852,3.67407,3.7037,3.53995,8209435
6/8/2016,3.7037,3.7037,3.64444,3.68889,3.525795,8322939
6/13/2016,3.65185,3.7037,3.55556,3.56296,3.405433,10203970
6/14/2016,3.4963,3.57778,3.4963,3.57037,3.412515,6090266
6/15/2016,3.52593,3.66667,3.5037,3.63704,3.476237,7438869
6/16/2016,3.63704,3.64444,3.59259,3.61481,3.45499,6356845
6/17/2016,3.62222,3.68148,3.61481,3.65185,3.490393,7952289
6/20/2016,3.63704,3.65926,3.58519,3.64444,3.48331,6559190
6/21/2016,3.65926,3.68148,3.59259,3.60741,3.447917,7049761
6/22/2016,3.60741,3.66667,3.59259,3.65926,3.497475,6882388
6/23/2016,3.66667,3.68148,3.63704,3.66667,3.504558,6927254
6/24/2016,3.67407,3.68889,3.58519,3.62963,3.469155,8482569
6/27/2016,3.61481,3.6963,3.6,3.68148,3.518713,9239071
6/28/2016,3.73333,3.82222,3.73333,3.77037,3.603673,22091103
6/29/2016,3.74074,3.78519,3.74074,3.76296,3.59659,12732724
6/30/2016,3.76296,3.78519,3.74815,3.76296,3.59659,7177598
7/1/2016,3.76296,3.79259,3.75556,3.78519,3.617838,9948901
7/4/2016,3.77037,3.85926,3.75556,3.85185,3.68155,17830316
7/5/2016,3.85185,3.8963,3.83704,3.85926,3.688633,13371100
7/6/2016,3.84444,3.87407,3.80741,3.87407,3.702788,10333365
7/7/2016,3.85185,3.86667,3.80741,3.83704,3.667395,10178381
